ABCDEFGHIJKLM	10 45 65 40 75 25 635 25
ABCDEFGHIJKLM	10 45 65 40 75 25 635 25
ABCDEFGHIJKLM	10 45 65 40 75 25 635 25
ABCDEFGHIJKLM	10 45 65 40 75 25 635 25
ABCDEFGHIJKLM	35 5 10 0 25 35 65 5 0
ABCDEFGHIJKLM	35 5 10 0 25 35 65 5 0
ABCDEFGHIJKLM	35 5 10 0 25 35 65 5 0
ABCDEFGHIJKLM	35 5 10 0 25 35 65 5 0
ABCDEFGHIJKLM	10 45 65 40 75 25 635 25
ABCDEFGHIJKLM	10 45 65 40 75 25 635 25
ABCDEFGHIJKLM	10 45 65 40 75 25 635 25
ABCDEFGHIJKLM	10 45 65 40 75 25 635 25
ABCDEFGHIJKLM	35 5 10 0 25 35 65 5 0
ABCDEFGHIJKLM	35 5 10 0 25 35 65 5 0
ABCDEFGHIJKLM	35 5 10 0 25 35 65 5 0
ABCDEFGHIJKLM	35 5 10 0 25 35 65 5 0
